,price
1274,2453.0
1275,8250.0
1276,5575.0
1277,3200.0
1278,2745.0
1279,2450.0
1280,2190.0
1281,2150.0
1282,1675.0
1283,3595.0
1284,1750.0
1285,3350.0
1286,6300.0
1287,3600.0
1288,2000.0
1289,2600.0
1290,2400.0
1291,2500.0
1292,4500.0
1293,2365.0
1294,3595.0
1295,1775.0
1296,2300.0
1297,1900.0
1298,1850.0
1299,2300.0
1300,3950.0
1301,1350.0
1302,1665.0
1303,2690.0
1304,2299.0
1305,2150.0
1306,3200.0
1307,2000.0
1308,2950.0
1309,3500.0
1310,1695.0
1311,1850.0
1312,2450.0
1313,2199.0
1314,2400.0
1315,1150.0
1316,2150.0
1317,2600.0
1318,2400.0
1319,3600.0
1320,1800.0
1321,1750.0
1322,2450.0
1323,2975.0
1324,4195.0
1325,3450.0
1326,6500.0
1327,3000.0
1328,2095.0
1329,2195.0
1330,2100.0
1331,1950.0
1332,6650.0
1333,2495.0
1334,2200.0
1335,4150.0
1336,2400.0
1337,3420.0
1338,3000.0
1339,2300.0
1340,1900.0
1341,3395.0
1342,2400.0
1343,2695.0
1344,2995.0
1345,2495.0
1346,2500.0
1347,1450.0
1348,2500.0
1349,1325.0
1350,2500.0
1351,1750.0
1352,2250.0
1353,2900.0
1354,2100.0
1355,3000.0
1356,4750.0
1357,4395.0
1358,1775.0
1359,2450.0
1360,2550.0
1361,3250.0
1362,1900.0
1363,2375.0
1364,3500.0
1365,1600.0
1366,1799.0
1367,1925.0
1368,15500.0
1369,2100.0
1370,2775.0
1371,2695.0
1372,2395.0
1373,7300.0
1374,3000.0
1375,4000.0
1376,2800.0
1377,3195.0
1378,2675.0
1379,5685.0
1380,2695.0
1381,1800.0
1382,3419.0
1383,5300.0
1384,1350.0
1385,2400.0
1386,2100.0
1387,3250.0
1388,1650.0
1389,3000.0
1390,5495.0
1391,2595.0
1392,1825.0
1393,3575.0
1394,1750.0
1395,3895.0
1396,3495.0
1397,4000.0
1398,2400.0
1399,3000.0
1400,1999.0
1401,2825.0
1402,2340.0
1403,1495.0
1404,1950.0
1405,2953.0
1406,2400.0
1407,7500.0
1408,1800.0
1409,2095.0
1410,1795.0
1411,1750.0
1412,2900.0
1413,3000.0
1414,2495.0
1415,3100.0
1416,5200.0
1417,2000.0
1418,3600.0
1419,3050.0
1420,2600.0
1421,1650.0
1422,2300.0
1423,2175.0
1424,1995.0
1425,2000.0
1426,1850.0
1427,1820.0
1428,1650.0
1429,2700.0
1430,3092.0
1431,2250.0
1432,3350.0
1433,2800.0
1434,1875.0
1435,4250.0
1436,2150.0
1437,1926.0
1438,1600.0
1439,2850.0
1440,2499.0
1441,2895.0
1442,2975.0
1443,2100.0
1444,2850.0
1445,2250.0
1446,2250.0
1447,1525.0
1448,2900.0
1449,1400.0
1450,2600.0
1451,2750.0
1452,1939.0
1453,950.0
1454,2600.0
1455,2700.0
1456,6795.0
1457,2300.0
1458,7995.0
1459,2895.0
1460,2700.0
1461,2833.0
1462,3369.0
1463,2100.0
1464,2450.0
1465,6500.0
1466,3550.0
1467,4795.0
1468,3995.0
1469,3600.0
1470,3000.0
1471,10500.0
1472,1350.0
1473,2200.0
1474,8900.0
1475,1850.0
1476,3200.0
1477,2200.0
1478,1650.0
1479,1900.0
1480,1150.0
1481,4500.0
1482,3195.0
1483,1850.0
1484,2499.0
1485,4500.0
1486,1800.0
1487,2400.0
1488,2300.0
1489,2250.0
1490,1595.0
1491,2995.0
1492,3095.0
1493,5395.0
1494,2895.0
1495,5775.0
1496,1410.0
1497,2700.0
1498,3350.0
1499,3400.0
1500,2225.0
1501,2245.0
1502,2500.0
1503,2200.0
1504,1100.0
1505,1700.0
1506,2300.0
1507,1950.0
1508,4200.0
1509,1595.0
1510,3650.0
1511,5583.0
1512,4095.0
1513,2900.0
1514,2285.0
1515,2450.0
1516,1799.0
1517,2395.0
1518,3300.0
1519,4000.0
1520,2999.0
1521,3000.0
